"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"P30","Boyaca","Survey","SantaSofia",-73.59659,5.7072,2332,1680,153,3,14.88,720.72,0,0.08802,0.09169,0.06273
"P31","Boyaca","Survey","SantaSofia",-73.6013,5.70725,2358,3200,153,2.5,8.12,592.36,0,0.0599,0.0886,0.1133
"P32","Boyaca","Survey","SantaSofia",-73.60577,5.71413,2078,3150,183,3.5,7.62,194.86,0,0.0593,0.0811,0.1058
"P33","Boyaca","Survey","SantaSofia",-73.61327,5.71906,2479,1736,183,3.2,13.82,289.27,0,0.10242,0.11083,0.2736
"P35","Boyaca","Survey","VillaDeLeyva",-73.58025,5.66135,2394,2240,183,3.1,13.39,381.02,0,0.04921,0.04395,0.09525
"P36","Boyaca","Survey","VillaDeLeyva",-73.5825,5.66042,2078,2500,182,2.4,19.2,97.69,0,0.11944,0.17106,0.20252
"P39","Boyaca","Survey","VillaDeLeyva",-73.57717,5.66791,2083,2450,151,1.2,5.71,486,0,0.04565,0.05697,0.06369
"P4","Boyaca","Survey","SantaSofia",-73.59908,5.72612,2351,1722,153,2.9,9.87,185.11,0,0.02025,0.01735,0.01802
"P40","Boyaca","Survey","SantaSofia",-73.58816,5.6904,2383,2520,121,3.2,10.71,775.2,0,0.04786,0.07524,0.07531
"P41","Boyaca","Survey","SantaSofia",-73.6041,5.71132,2383,2400,188,2.3,14.17,222.31,0,0.04666,0.05799,0.10549
"P42","Boyaca","Survey","SantaSofia",-73.58826,5.69306,2386,2800,188,2.9,14.29,631.27,0,0.0804,0.07907,0.1699
"P43","Boyaca","Survey","SantaSofia",-73.60542,5.69429,2528,1820,184,3.6,13.19,823.68,0,0.04016,0.05682,0.05011
"P44","Boyaca","Survey","SantaSofia",-73.60425,5.69609,2490,2400,151,3.2,8.33,944.46,0,0.04719,0.07184,0.0536
"P45","Boyaca","Survey","SantaSofia",-73.60796,5.69218,2519,1120,214,3.6,14.29,739.2,0,0.1319,0.12194,0.3053
"P46","Boyaca","Survey","VillaDeLeyva",-73.56187,5.62817,2108,4900,184,3.3,12.24,291.76,0,0.03845,0.05623,0.04754
